ynorm	yfit
284.0515442	283.711789
284.1191101	284.052748
285.9117584	286.0859517
287.7556534	288.5340219
288.7424812	290.1274702
289.4112644	291.7256228
294.3493395	296.6514062
299.2874146	301.5771896
299.7714233	301.5369474
300.2554321	299.4792268
297.7727356	297.4215063
295.4663239	297.9442239
295.3586349	299.0081004
296.2962761	297.6936405
297.2339172	299.4104877
298.1603394	300.0091617
299.4983521	299.8356005
301.5012512	301.8375273
304.4393921	304.5966041
302.7554016	304.2106605
304.5403748	302.3901993
301.9911499	302.5974856
302.619751	306.4271942
308.8310242	308.5076647
309.3052979	310.2363368
310.8236694	313.4132572
310.6596069	313.1337845
311.5650635	313.15285
310.7677917	313.8172314
311.1612549	313.7090769
312.6113281	314.3578361
317.9245605	317.0895261
324.5940552	319.7052074
317.5540161	317.3070577
319.6533508	322.8630832
319.8361816	319.9580168
320.5271606	319.498332
321.2231445	321.1111113
327.0308228	323.1131016
322.0609436	324.2726369
325.3053894	327.0592253
328.8900452	326.8702338
327.7507629	333.6124945
327.3392334	333.0334281
329.0202637	329.5213025
330.8448792	328.6530283
327.857666	328.2805687
328.6984863	329.2780304
331.5881653	331.2845706
332.4154053	333.0860854
348.1876526	336.0431794
328.5070801	328.4072679
330.854187	328.6268569
337.5763855	332.2521824
330.5585632	331.8880376
330.8765259	333.3167377
332.8514404	334.4639099
332.9651184	335.2107674
336.1927185	336.36273
337.2685242	335.2729751
335.2407532	335.6697505
335.6134033	335.507146
334.1413879	335.9882411
334.2237549	335.8095545
337.1241455	337.0167582
335.8295288	337.2079585
337.5634155	340.8847681
339.2524414	340.4585038
335.401825	336.9491254
340.7010498	336.8137738
337.0418396	337.6660075
339.512207	338.1588534
353.2082825	345.9003945
340.9457397	343.5256978
341.4089661	341.2762706
339.9815674	340.1701549
342.0180054	342.0892541
341.0321655	341.7636135
341.0854492	340.5625318
343.900177	341.2142052
334.0491638	337.7810788
342.3535767	341.3466472
343.4622803	343.2624631
345.7800293	346.6271924
344.4859619	343.4448568
341.5788269	343.6334635
343.8588867	345.5584647
340.275238	341.8405823
336.2835693	339.2951694
342.3109436	342.2775451
340.7998352	345.6301526
341.4277039	343.1564217
338.0800171	340.7240527
341.5230103	340.7371014
342.1265869	342.5070004
345.1154785	340.7629509
340.0622253	341.1071302
338.9710693	341.123536
339.3289795	341.9605646
340.53302	343.7421293
341.0654602	341.4553622
340.5892944	341.8724325
336.9569092	340.4872108
337.076355	339.9601562
336.999054	337.6481695
338.1896667	337.5513411
337.0445557	336.4919658
337.2667236	338.6375297
338.5882568	341.5330133
337.0651855	340.6594752
334.3192139	338.6376433
332.6970825	335.5270235
337.7894897	339.6401877
339.0142822	340.9455037
339.331665	340.8246464
340.8166504	340.4218563
338.9595947	342.8419598
339.4718628	341.6537363
338.8627625	337.5058334
340.9958191	335.7830275
337.5991211	348.8191663
334.2024231	342.1757023
333.8015442	334.8761865
337.9483643	338.9012286
335.7206116	339.5937157
337.0276489	338.0074571
338.1934204	338.2518102
339.0310669	340.728592
337.0364685	339.6091391
335.0864868	334.1738836
332.9937134	334.3573707
331.7537231	332.9142236
331.1457825	331.8063938
323.9708252	327.5316707
328.4716492	329.4274973
330.5244751	330.7384095
330.6720581	334.0986055
332.2102966	332.154077
331.7313232	330.5966892
328.3516846	330.0477562
324.9652405	338.4162446
328.3811951	334.8820219
335.5114746	333.266332
340.7695618	334.6089709
345.8259888	334.043206
326.5490112	328.3832361
326.3999634	328.5388943
327.0904541	329.3941434
327.2559814	329.6514861
326.8908081	328.4097205
