y	yfit
-236.8730469	267.0828485
-354.5263672	-21.93405747
-395.5625	-292.0050442
-484.8320313	-543.1301116
-555.4013672	-775.3092597
-576.1054688	-988.5424885
-815.6572266	-1182.829798
-1108.447266	-1358.171188
-1282.337891	-1514.566659
-1537.671875	-1652.016211
-1736.535156	-1770.519843
-1868.428711	-1870.077556
-1957.995117	-1950.68935
-1967.115234	-2012.355224
-2159.74707	-2055.075179
-2121.292969	-2078.849215
-2157.738281	-2083.677332
-2191.157227	-2069.559529
-2204.708984	-2036.495807
-2139.235352	-1984.486166
-2105.541992	-1913.530605
-2004.772461	-1823.629125
-1977.854492	-1714.781726
-1756.197266	-1586.988407
-1414.355469	-1440.249169
-1187.475586	-1274.564012
-987.7597656	-1089.932936
-677.5419922	-886.3559401
-443.46875	-663.833025
-353.5244141	-422.3641907
-191.5244141	-161.9494371
