y	yfit
-744.765625	-682.7388558
-749.8144531	-679.7188686
-737.6884766	-672.0983435
-725.5615234	-659.8772804
-700.0576172	-643.0556794
-616.0957031	-621.6335404
-621.2021484	-595.6108634
-472.6767578	-564.9876485
-464.3271484	-529.7638957
-346.3554688	-489.9396049
-136.2050781	-445.5147761
-19.38183594	-396.4894093
71.86914063	-342.8635047
-8.8203125	-284.637062
-3.5390625	-221.8100814
-902.8955078	-154.3825629
-673.6162109	-82.35450634
-411.8251953	-5.725911872
-323.1914063	75.50322055
-57.35058594	161.3328909
95.91113281	251.7630993
306.0341797	346.7938456
587.9912109	446.4251298
783.2041016	550.656952
964.2470703	659.4893122
1166.998047	772.9222103
1112.507813	890.9556464
1140.664063	1013.58962
1148.383789	1140.824132
1216.378906	1272.659182
1039.988281	1409.09477
