y	yfit
817.9106445	862.0109131
751.8706055	846.2534941
718.6674805	829.7424132
847.7827148	812.4776706
763.4897461	794.4592662
875.3491211	775.6872
779.628418	756.161472
796.6616211	735.8820822
760.0698242	714.8490307
888.9233398	693.0623173
731.4790039	670.5219422
574.0356445	647.2279052
661.9672852	623.1802065
663.0473633	598.378846
588.7104492	572.8238237
603.6655273	546.5151396
464.4174805	519.4527938
486.237793	491.6367861
376.7280273	463.0671166
293.5961914	433.7437854
267.3959961	403.6667924
243.9633789	372.8361376
394.0112305	341.251821
316.6889648	308.9138426
284.7436523	275.8222024
226.6923828	241.9769004
202.3754883	207.3779367
208.3022461	172.0253111
173.4536133	135.9190238
146.5942383	99.05907466
98.96923828	61.44546375
