y	xmin	ymin	xmax	ymax
43.89005	36	0	10	71.13691
52.61347	96	21.2784	67	99.38467
58.76556	155	33.86611	127	95.61703
61.16518	214	0	177	100
65.69869	282	25.34413	249	89.81308
65.83566	335	21.90117	308	86.70312
67.75743				
67.52007				
67.65544				
68.68132				
71.13691				
67.37035				
65.83781				
62.71503				
59.43758				
51.7972				
46.99428				
43.53586				
38.87175				
29.55885				
31.41915				
26.00748				
22.30983				
20.64745				
21.21163				
15.10073				
13.25947				
11.41821				
10.63034				
7.426553				
5.373757				
4.982411				
3.887703				
2.261647				
0.4439772				
1.583665				
0				
0.9835231				
0.1712118				
0.3946187				
1.344111				
1.503993				
4.466493				
2.976706				
5.838626				
7.794014				
9.287464				
12.20516				
16.33266				
20.57376				
27.55765				
29.16522				
36.49991				
41.79692				
46.23827				
52.21926				
58.08715				
62.17656				
68.14721				
75.18911				
80.42136				
87.12484				
91.71582				
93.96461				
94.19473				
97.28095				
98.19814				
99.38467				
98.92143				
99.298				
98.93763				
97.92038				
95.20762				
90.09949				
85.1482				
80.73041				
75.52012				
73.41324				
67.18592				
64.663				
61.94807				
58.30444				
54.28437				
52.45634				
48.92707				
46.49221				
42.85892				
37.77492				
31.84307				
32.37263				
29.25296				
26.59296				
24.65011				
27.18019				
22.73867				
22.42777				
21.2784				
25.68437				
24.3779				
23.07143				
24.31516				
24.89286				
26.19883				
27.93262				
28.32316				
28.1217				
28.20917				
31.22917				
31.78677				
35.16428				
40.01306				
44.69284				
50.90643				
54.18694				
59.67277				
61.75265				
64.80109				
68.08736				
74.27174				
80.25041				
82.0909				
88.40635				
88.40841				
89.5837				
92.35729				
95.28886				
95.12855				
95.61703				
95.5087				
94.57372				
94.87675				
91.70376				
88.53073				
86.6767				
82.06225				
77.3174				
74.11681				
70.09796				
65.80714				
64.02781				
60.67569				
56.60074				
55.56976				
52.25836				
50.03201				
46.41664				
44.94884				
44.99168				
42.40642				
41.90206				
41.39767				
39.68769				
37.26966				
35.94113				
35.06524				
33.86611				
35.31686				
36.4469				
38.38747				
37.89762				
37.26023				
41.70989				
43.38715				
46.18979				
49.12551				
53.13557				
55.67818				
57.91009				
60.14198				
63.07513				
66.96389				
68.39326				
74.70782				
77.22107				
80.95367				
87.13823				
95.94034				
100				
99.35545				
98.71092				
58.26891				
61.3557				
62.82176				
61.56032				
65.19615				
64.88763				
66.06506				
65.06998				
63.22631				
60.29196				
58.78502				
52.06863				
47.55132				
44.46497				
43.34307				
37.75195				
34.38817				
31.73088				
28.80577				
21.8593				
23.23919				
18.3088				
16.5252				
14.31937				
14.53551				
10.48379				
8.767917				
7.052065				
8.322206				
5.631279				
5.185053				
3.705823				
1.451552				
0.9862185				
0				
0.9524538				
1.153528				
2.740273				
2.972548				
4.697491				
6.597485				
7.359984				
11.54072				
9.480215				
13.59531				
16.91903				
18.79437				
20.67947				
24.09072				
26.97683				
31.31406				
33.09609				
38.23893				
43.77212				
48.32526				
55.3839				
63.36832				
71.23627				
74.83018				
79.32814				
81.92985				
84.22455				
85.86362				
86.8031				
86.63055				
88.77615				
89.16919				
89.41694				
89.43911				
89.81308				
89.29778				
89.15029				
87.63888				
84.78997				
81.27356				
79.13819				
76.00627				
73.51373				
66.57115				
63.59863				
59.72055				
56.82897				
53.95042				
51.90606				
47.80375				
44.80786				
42.34941				
39.73584				
36.24822				
34.29805				
32.16924				
30.9128				
29.11142				
30.89642				
28.19551				
27.32345				
26.34908				
28.39304				
28.41635				
28.43967				
26.72529				
26.46357				
25.34413				
25.83832				
27.18334				
28.8535				
28.99789				
31.20609				
33.40064				
34.84354				
38.58774				
41.19541				
45.27369				
46.66692				
50.7866				
53.5315				
57.76528				
60.21021				
64.95434				
69.0794				
71.62843				
78.12827				
78.84377				
80.68485				
83.03535				
84.57219				
84.07047				
86.0724				
86.70312				
85.06715				
84.5351				
81.29322				
78.05131				
75.97401				
71.32793				
67.40294				
65.39926				
58.1844				
53.34295				
52.76614				
47.86215				
43.88935				
42.69164				
38.29831				
36.00895				
33.11531				
31.97626				
31.3437				
29.31944				
28.8715				
28.42357				
27.25821				
24.4475				
23.3523				
22.58526				
21.90117				
23.04182				
24.0253				
24.84659				
23.83289				
23.33178				
26.90653				
26.74698				
28.41528				
31.16523				
35.04673				
35.49312				
37.67142				
39.84972				
42.78932				
47.02098				
49.05463				
54.05618				
56.12376				
59.54434				
66.02128				
70.19743				
82.93831				
93.70084				
100				
