yraw	ycleaned
282.9182739	284.0515442
284.0515442	284.1191101
284.186676	285.9117584
287.7044067	287.7556534
289.5995483	288.7424812
289.7293091	289.4112644
290.0800476	294.3493395
299.2874146	299.2874146
294.2471313	299.7714233
300.2554321	300.2554321
293.1636047	297.7727356
295.2900391	295.4663239
293.1599121	295.3586349
295.250946	296.2962761
297.2339172	297.2339172
298.1603394	298.1603394
299.4983521	299.4983521
301.5012512	301.5012512
304.4393921	304.4393921
302.7554016	302.7554016
304.5403748	304.5403748
301.9911499	301.9911499
302.619751	302.619751
308.8310242	308.8310242
309.3052979	309.3052979
310.8236694	310.8236694
310.6596069	310.6596069
311.5650635	311.5650635
310.7677917	310.7677917
311.1612549	311.1612549
312.6113281	312.6113281
317.9245605	317.9245605
324.5940552	324.5940552
317.5540161	317.5540161
319.6533508	319.6533508
319.8361816	319.8361816
320.5271606	320.5271606
321.2231445	321.2231445
327.0308228	327.0308228
322.0609436	322.0609436
325.3053894	325.3053894
328.8900452	328.8900452
327.7507629	327.7507629
327.3392334	327.3392334
329.0202637	329.0202637
330.8448792	330.8448792
327.857666	327.857666
328.6984863	328.6984863
331.5881653	331.5881653
332.4154053	332.4154053
348.1876526	348.1876526
328.5070801	328.5070801
330.854187	330.854187
337.5763855	337.5763855
330.5585632	330.5585632
330.8765259	330.8765259
332.8514404	332.8514404
332.9651184	332.9651184
336.1927185	336.1927185
337.2685242	337.2685242
335.2407532	335.2407532
335.6134033	335.6134033
334.1413879	334.1413879
334.2237549	334.2237549
337.1241455	337.1241455
335.8295288	335.8295288
337.5634155	337.5634155
339.2524414	339.2524414
335.401825	335.401825
340.7010498	340.7010498
337.0418396	337.0418396
339.512207	339.512207
353.2082825	353.2082825
340.9457397	340.9457397
341.4089661	341.4089661
339.9815674	339.9815674
342.0180054	342.0180054
341.0321655	341.0321655
341.0854492	341.0854492
343.900177	343.900177
334.0491638	334.0491638
342.3535767	342.3535767
343.4622803	343.4622803
345.7800293	345.7800293
344.4859619	344.4859619
341.5788269	341.5788269
343.8588867	343.8588867
340.275238	340.275238
336.2835693	336.2835693
342.3109436	342.3109436
340.7998352	340.7998352
341.4277039	341.4277039
338.0800171	338.0800171
341.5230103	341.5230103
342.1265869	342.1265869
345.1154785	345.1154785
340.0622253	340.0622253
338.9710693	338.9710693
339.3289795	339.3289795
340.53302	340.53302
341.0654602	341.0654602
340.5892944	340.5892944
336.9569092	336.9569092
337.076355	337.076355
336.999054	336.999054
338.1896667	338.1896667
337.0445557	337.0445557
337.2667236	337.2667236
338.5882568	338.5882568
337.0651855	337.0651855
334.3192139	334.3192139
332.6970825	332.6970825
337.7894897	337.7894897
339.0142822	339.0142822
339.331665	339.331665
340.8166504	340.8166504
338.9595947	338.9595947
339.4718628	339.4718628
338.8627625	338.8627625
340.9958191	340.9958191
391.0723267	337.5991211
334.2024231	334.2024231
333.8015442	333.8015442
337.9483643	337.9483643
335.7206116	335.7206116
337.0276489	337.0276489
338.1934204	338.1934204
339.0310669	339.0310669
337.0364685	337.0364685
335.0864868	335.0864868
332.9937134	332.9937134
331.7537231	331.7537231
331.1457825	331.1457825
323.9708252	323.9708252
328.4716492	328.4716492
330.5244751	330.5244751
330.6720581	330.6720581
332.2102966	332.2102966
331.7313232	331.7313232
328.3516846	328.3516846
324.9652405	324.9652405
328.3811951	328.3811951
335.5114746	335.5114746
340.7695618	340.7695618
345.8259888	345.8259888
326.5490112	326.5490112
326.3999634	326.3999634
327.0904541	327.0904541
327.2559814	327.2559814
326.8908081	326.8908081
