raw	slope	new
6585.291	0	6585.291
6528.268	22.535	6505.733
6495.452	45.07	6450.382
6422.604	67.605	6354.999
6432.27	90.14	6342.13
6344.124	112.675	6231.449
6343.536	135.21	6208.326
6326.223	157.745	6168.478
6329.672	180.28	6149.393
6354.579	202.815	6151.764
6437.789	225.35	6212.439
6370.829	247.885	6122.944
6411.84	270.42	6141.42
6463.812	292.955	6170.857
6570.153	315.49	6254.663
6572.386	338.025	6234.361
6612.465	360.56	6251.905
6688.138	383.095	6305.042
6797.957	405.63	6392.327
6986.973	428.165	6558.808
7232.336	450.7	6781.636
7260.672	473.235	6787.437
7398.909	495.77	6903.139
7524.068	518.305	7005.763
7754.411	540.84	7213.571
7847.541	563.375	7284.166
8072.362	585.91	7486.452
8297.186	608.445	7688.741
8529.27	630.98	7898.29
8707.027	653.515	8053.512
8871.129	676.05	8195.079
9020.688	698.585	8322.103
9031.231	721.12	8310.111
9022.394	743.655	8278.738
8995.801	766.19	8229.61
8894.061	788.725	8105.335
8761.356	811.26	7950.097
8680.067	833.795	7846.272
8527.187	856.33	7670.856
8409.116	878.865	7530.251
8296.913	901.4	7395.513
8195.055	923.935	7271.12
8148.54	946.47	7202.07
7901.967	969.005	6932.962
7876.351	991.54	6884.811
7760.689	1014.075	6746.614
7680.981	1036.61	6644.371
7589.746	1059.145	6530.601
7517.109	1081.68	6435.43
7431.904	1104.215	6327.689
7422.676	1126.75	6295.926
7325.907	1149.285	6176.622
7306.323	1171.82	6134.503
7280.243	1194.355	6085.888
7185.343	1216.89	5968.453
7163.148	1239.425	5923.723
7115.267	1261.96	5853.307
7101.097	1284.495	5816.602
7085.17	1307.03	5778.14
7122.001	1329.565	5792.436
7106.909	1352.1	5754.809
7115.874	1374.635	5741.239
7155.744	1397.17	5758.574
7217.421	1419.705	5797.716
7283.065	1442.24	5840.825
7400.635	1464.775	5935.86
7451.522	1487.31	5964.212
7477.294	1509.845	5967.449
7547.258	1532.38	6014.878
7664.762	1554.915	6109.847
7781.25	1577.45	6203.8
7890.438	1599.985	6290.453
8013.963	1622.52	6391.443
8106.962	1645.055	6461.907
8240.767	1667.59	6573.177
8379.416	1690.125	6689.291
8535.676	1712.66	6823.016
8825.201	1735.195	7090.006
8910.891	1757.73	7153.161
9124.184	1780.265	7343.918
9216.142	1802.8	7413.342
9478.572	1825.335	7653.237
9718.64	1847.87	7870.77
9952.891	1870.405	8082.485
10214.26	1892.94	8321.318
10484.06	1915.475	8568.582
10668.71	1938.01	8730.695
10866.56	1960.545	8906.019
10921.35	1983.08	8938.268
10947.45	2005.615	8941.837
10978.34	2028.15	8950.188
10998.04	2050.685	8947.354
10943.77	2073.22	8870.549
10986.79	2095.755	8891.031
10737.7	2118.29	8619.413
10588.25	2140.825	8447.426
10390.89	2163.36	8227.527
10289.5	2185.895	8103.601
10097.15	2208.43	7888.717
9904.799	2230.965	7673.834
9726.582	2253.5	7473.082
9607.922	2276.035	7331.887
9438.562	2298.57	7139.991
9302.299	2321.105	6981.194
9205.599	2343.64	6861.959
9109.125	2366.175	6742.95
8963.411	2388.71	6574.701
8892.118	2411.245	6480.873
8775.678	2433.78	6341.897
8665.757	2456.315	6209.442
8608.207	2478.85	6129.357
8554.159	2501.385	6052.774
8520.379	2523.92	5996.459
8453.644	2546.455	5907.188
8442.739	2568.99	5873.749
8375.355	2591.525	5783.831
8313.953	2614.06	5699.893
8201.896	2636.595	5565.302
8153.36	2659.13	5494.23
8204.384	2681.665	5522.719
8162.32	2704.2	5458.12
8236.274	2726.735	5509.54
